timestamp,x,y,z
0,-17.51,9.11,1.37
10,-21.81,9.84,2.79
20,-25.79,10.54,3.82
30,-27.01,11.27,4.23
40,-24.37,12.04,3.99
50,-19.94,12.25,3.18
60,-15.22,12.07,2.13
70,-11.88,11.74,1.23
80,-9.94,11.45,0.62
90,-8.65,11.03,0.41
100,-7.15,10.79,0.49
110,-5.28,10.86,0.83
120,-3.28,11.3,1.46
130,-1.08,11.94,2.49
140,1.2,12.7,4.01
150,3.58,13.46,6.24
160,5.52,13.99,8.6
170,7.81,13.25,11.34
180,10.2,12.3,14.31
190,12.83,11.46,16.99
200,15.12,10.8,18.51
210,17.53,10.3,18.08
220,20.58,9.15,16.0
230,23.34,7.18,12.33
240,25.62,5.34,8.46
250,26.02,3.98,5.49
260,22.67,3.37,6.29
270,19.23,3.3,7.95
280,16.31,3.31,9.72
290,14.27,3.32,10.78
300,14.07,3.5,10.71
310,16.24,3.44,9.69
320,19.5,3.03,8.89
330,22.36,3.52,9.49
340,22.81,4.66,11.5
350,20.78,6.59,13.86
360,18.57,8.85,15.9
370,16.31,10.89,16.64
380,14.39,12.92,16.08
390,12.49,14.17,14.09
400,10.39,15.37,11.94
410,7.98,16.07,10.08
420,6.01,16.72,8.83
430,4.16,17.25,7.99
440,2.67,18.12,7.43
450,1.4,19.43,6.76
460,0.32,21.33,6.17
470,-0.78,23.28,5.66
480,-2.64,24.99,5.26
490,-6.67,26.15,4.51
500,-14.32,26.93,2.23
510,-27.92,24.75,0.62
520,-34.73,19.22,-5.29
530,-35.54,13.04,-10.33
540,-31.89,8.94,-12.45
550,-25.12,7.33,-11.15
560,-15.44,7.36,-7.53
570,-8.92,7.69,-3.36
580,-5.95,7.77,-0.18
590,-6.32,7.89,1.38
600,-8.83,8.01,1.58
610,-11.64,7.97,1.07
620,-13.12,7.98,0.97
630,-13.15,8.33,1.42
640,-13.07,8.72,1.82
650,-13.71,9.16,2.14
660,-14.79,9.66,2.32
670,-15.95,10.31,2.46
680,-17.26,11.23,2.4
690,-17.65,12.65,2.33
700,-17.09,14.26,1.96
710,-16.25,16.31,1.25
720,-15.67,18.77,0.41
730,-14.45,21.93,-0.03
740,-11.09,25.44,-0.1
750,-5.96,28.47,-0.13
760,-0.11,30.38,-0.05
770,6.01,30.89,0.35
780,11.72,29.93,1.59
790,17.48,27.8,3.72
800,20.46,25.55,6.22
810,22.65,22.42,11.73
820,24.4,19.39,17.31
830,25.17,16.85,21.93
840,24.5,14.49,24.27
850,24.37,12.87,24.74
860,25.24,10.94,24.38
870,24.63,9.74,22.61
880,21.58,9.57,20.24
890,16.89,9.68,17.73
900,13.01,9.7,15.94
910,10.41,9.4,14.68
920,9.49,9.02,13.82
930,10.06,8.47,13.37
940,11.48,7.65,13.45
950,12.84,7.32,14.12
960,13.48,7.42,15.2
970,12.4,8.19,15.88
980,10.31,9.14,15.69
990,8.03,9.99,14.73
1000,5.82,10.38,13.28
